127.0.0.1 - - [06/Jul/2021:21:32:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:32:27 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:32:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:32:27 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:32:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:32:30 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:33:10 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:33:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:34:23 +0900] "GET /BBS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:34:23 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:34:23 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:34:24 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:39:04 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:39:12 +0900] "GET /BBS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:39:12 +0900] "GET /BBS/ HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:39:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2170
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:39:15 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2920
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:58:05 +0900] "GET /BBS HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:58:05 +0900] "GET /BBS/ HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [06/Jul/2021:21:58:05 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [06/Jul/2021:22:06:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1466
